Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,False Positive Rate,Training Time (s),Prediction Time (s)
Isolation Forest,0.74878,0.8839434532995863,0.57276,0.6951139590766766,0.8062664016,0.0752,0.36904850002611056,0.21457737497985363
One-Class SVM,0.7703,0.9203209554021272,0.59184,0.720403145312462,0.8059244623999999,0.05124,16.657680167001672,11.497325374977663
Local Outlier Factor,0.85542,0.8578966447818906,0.85196,0.8549180163365244,0.8969529968000001,0.14112,2.760205125028733,2.77902554202592
